Sex,cause_code,communicable_code,cause_group,cause,cause_detail,deaths_thousands,deaths,ratio16,italy2000,italy200tot,ratio
Persons,40,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,All,0.03051476,30.51476038,4.76941E-05,0.026443618,26.44361793,4.7181E-05
Persons,890,Noncommunicable diseases,Mental and substance use disorders,Eating disorders,All,0.017354474,17.35447447,2.71248E-05,0.021701015,21.70101473,3.87192E-05
Persons,1470,Noncommunicable diseases,Oral conditions,Oral conditions,All,0.034249658,34.24965769,5.35317E-05,0.021403271,21.40327109,3.81879E-05
Persons,400,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,Upper respiratory infections,All,0.022951477,22.95147681,3.58728E-05,0.016449018,16.44901842,2.93485E-05
Persons,840,Noncommunicable diseases,Mental and substance use disorders,Bipolar disorder,All,0.069774646,69.77464631,0.000109057,0.013142502,13.14250183,2.3449E-05
Persons,1400,Noncommunicable diseases,Congenital anomalies,All,All,1.642894692,1642.894692,0.002567821,1.776266068,1776.266068,0.003169231
Persons,1370,Noncommunicable diseases,Musculoskeletal diseases,Gout,All,0.022184888,22.18488759,3.46747E-05,0.009083842,9.083842468,1.62075E-05
Persons,410,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,Otitis media,All,0.008883514,8.883514451,1.38848E-05,0.004252875,4.252874594,7.58802E-06
Persons,210,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,All,0.004659192,4.659191979,7.28225E-06,0.002629242,2.629241573,4.69112E-06
Persons,560,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,Iodine deficiency,All,4.51184E-05,0.045118425,7.05195E-08,0.001152629,1.152628935,2.05653E-06
Persons,1630,Injuries,Intentional injuries,Collective violence and legal intervention,All,9.90927E-10,9.90927E-07,1.54881E-12,0.001010526,1.010526299,1.80299E-06
Persons,1420,Noncommunicable diseases,Congenital anomalies,Cleft lip and cleft palate,All,0.000415101,0.4151012,6.48797E-07,0.000934474,0.934473816,1.6673E-06
Persons,812,Noncommunicable diseases,"Endocrine, blood, immune disorders",Sickle cell disorders and trait,All,0.000555928,0.555928484,8.68908E-07,0.000393761,0.393760503,7.02551E-07
Persons,330,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Intestinal nematode infections,All,0,0,0,0,0,0
Persons,1510,Injuries,All,All,All,24.03916795,24039.16795,0.037572884,26.64138425,26641.38425,0.047533821
Persons,1520,Injuries,Unintentional injuries,All,All,18.66860996,18668.60996,0.029178777,21.39730069,21397.30069,0.038177276
Persons,365,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Leprosy,All,0,0,0,0,0,0
Persons,570,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,Vitamin A deficiency,All,0,0,0,0,0,0
Persons,755,Noncommunicable diseases,Malignant neoplasms,Mesothelioma,All,1.754441204,1754.441204,0.002742167,0,0,0
Persons,830,Noncommunicable diseases,Mental and substance use disorders,Depressive disorders,All,0,0,0,0,0,0
Persons,880,Noncommunicable diseases,Mental and substance use disorders,Anxiety disorders,All,0,0,0,0,0,0
Persons,900,Noncommunicable diseases,Mental and substance use disorders,Autism and Asperger syndrome,All,0,0,0,0,0,0
Persons,910,Noncommunicable diseases,Mental and substance use disorders,Childhood behavioural disorders,All,0,0,0,0,0,0
Persons,930,Noncommunicable diseases,Mental and substance use disorders,Other mental and behavioural disorders,All,0,0,0,0,0,0
Persons,1600,Injuries,Intentional injuries,All,All,5.370557992,5370.557992,0.008394107,5.244083565,5244.083565,0.009356546
Persons,990,Noncommunicable diseases,Neurological conditions,Migraine,All,0.001089721,1.08972121,1.70322E-06,0,0,0
Persons,1000,Noncommunicable diseases,Neurological conditions,Non-migraine headache,All,0,0,0,0,0,0
Persons,1310,Noncommunicable diseases,Genitourinary diseases,Infertility,All,0,0,0,0,0,0
,,,,,,,2641707.55,,,2330366.455,
,,,,,,,,,,,
,,,,,,,,,,,
