"TIME","GEO","GEO_LABEL","SEX","UNIT","AGE","TRAINING","WSTATUS","Value"
"2002","BG32","Severen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2003","BG32","Severen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","32.1"
"2004","BG32","Severen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","29.4"
"2005","BG32","Severen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","27.5"
"2006","BG32","Severen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","25.4"
"2007","BG32","Severen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","23.6"
"2008","BG32","Severen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","23.0"
"2009","BG32","Severen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","22.1"
"2010","BG32","Severen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","24.9"
"2011","BG32","Severen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","25.6"
"2012","BG32","Severen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","24.6"
"2013","BG32","Severen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","23.0"
"2014","BG32","Severen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","22.1"
"2015","BG32","Severen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","22.2"
"2016","BG32","Severen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.6"
"2017","BG32","Severen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","17.4"
"2018","BG32","Severen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.3"
"2000","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2003","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","31.9"
"2004","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","29.6"
"2005","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","26.4"
"2006","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","22.5"
"2007","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","21.1"
"2008","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","20.1"
"2009","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","21.9"
"2010","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","22.3"
"2011","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","23.7"
"2012","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","23.8"
"2013","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","24.4"
"2014","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","20.8"
"2015","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.6"
"2016","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.5"
"2017","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.9"
"2018","BG33","Severoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.9"
"2000","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2003","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","33.4"
"2004","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","31.0"
"2005","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","27.7"
"2006","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","26.6"
"2007","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","23.3"
"2008","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","22.4"
"2009","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","24.4"
"2010","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","25.1"
"2011","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","27.5"
"2012","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","28.1"
"2013","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","28.1"
"2014","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","28.0"
"2015","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","27.8"
"2016","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","24.3"
"2017","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","23.8"
"2018","BG34","Yugoiztochen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","24.1"
"2000","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2003","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","24.9"
"2004","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","22.3"
"2005","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","21.8"
"2006","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.6"
"2007","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.8"
"2008","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.2"
"2009","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.4"
"2010","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","17.0"
"2011","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.6"
"2012","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.7"
"2013","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.5"
"2014","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.8"
"2015","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.9"
"2016","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.4"
"2017","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.2"
"2018","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.5"
"2000","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","19.9"
"2002","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.6"
"2003","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.2"
"2004","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.2"
"2005","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.1"
"2006","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.8"
"2007","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.0"
"2008","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.9"
"2009","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.8"
"2010","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.6"
"2011","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.4"
"2012","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.2"
"2013","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.3"
"2014","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.6"
"2015","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.4"
"2016","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.5"
"2017","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.0"
"2018","BG41","Yugozapaden","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.2"
"2000","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2003","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","34.0"
"2004","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","30.8"
"2005","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","31.0"
"2006","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","26.5"
"2007","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","21.3"
"2008","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.0"
"2009","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","22.8"
"2010","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","25.9"
"2011","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","25.1"
"2012","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","24.6"
"2013","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","25.0"
"2014","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","21.7"
"2015","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","19.4"
"2016","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","20.4"
"2017","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.7"
"2018","BG42","Yuzhen tsentralen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.3"
"2000","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.4"
"2003","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.7"
"2004","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.7"
"2005","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.3"
"2006","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.2"
"2007","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.9"
"2008","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.7"
"2009","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.5"
"2010","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.8"
"2011","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.3"
"2012","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.9"
"2013","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.1"
"2014","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.1"
"2015","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.5"
"2016","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.0"
"2017","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.3"
"2018","CZ","Czechia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","5.6"
"2000","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.4"
"2003","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.7"
"2004","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.7"
"2005","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.3"
"2006","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.2"
"2007","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.9"
"2008","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.7"
"2009","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.5"
"2010","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.8"
"2011","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.3"
"2012","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.9"
"2013","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.1"
"2014","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.1"
"2015","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.5"
"2016","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.0"
"2017","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.3"
"2018","CZ0","Cesko","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","5.6"
"2000","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","4.9"
"2003","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.8"
"2004","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.2"
"2005","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.5"
"2006","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","3.4"
"2007","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","3.9"
"2008","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","3.1"
"2009","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","4.8"
"2010","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","4.7"
"2011","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","2.9"
"2012","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","3.1"
"2013","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","4.4"
"2014","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","4.4"
"2015","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","4.4"
"2016","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","2.0"
"2017","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","2.0"
"2018","CZ01","Praha","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","3.5"
"2000","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.7"
"2003","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.0"
"2004","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.1"
"2005","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.4"
"2006","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.5"
"2007","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","5.8"
"2008","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","5.2"
"2009","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.1"
"2010","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.1"
"2011","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.8"
"2012","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.3"
"2013","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.6"
"2014","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.1"
"2015","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.9"
"2016","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.6"
"2017","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.0"
"2018","CZ02","Strední Cechy","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","3.7"
"2000","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.9"
"2003","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.9"
"2004","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.3"
"2005","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.6"
"2006","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.3"
"2007","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","4.1"
"2008","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","3.9"
"2009","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.4"
"2010","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.5"
"2011","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.7"
"2012","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.5"
"2013","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.4"
"2014","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.7"
"2015","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","5.8"
"2016","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.0"
"2017","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","5.2"
"2018","CZ03","Jihozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","4.4"
"2000","CZ04","Severozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","CZ04","Severozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","CZ04","Severozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","22.2"
"2003","CZ04","Severozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","20.3"
"2004","CZ04","Severozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","21.2"
"2005","CZ04","Severozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","20.4"
"2006","CZ04","Severozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.7"
"2007","CZ04","Severozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.2"
"2008","CZ04","Severozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.2"
"2009","CZ04","Severozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.6"
"2010","CZ04","Severozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.7"
"2011","CZ04","Severozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.9"
"2012","CZ04","Severozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.5"
"2013","CZ04","Severozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.8"
"2014","CZ04","Severozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.5"
"2015","CZ04","Severozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.9"
"2016","CZ04","Severozápad","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.2"
